n,time,set,threshold,algo
5000,1871.7,22,8,1
50000,16414.5,7,8,1
10000,2778,15,8,1
100000,35177.6,15,8,1
50000,16318.1,28,8,1
500000,201874,10,8,1
10000,3401.4,25,8,1
5000,1403.7,15,8,1
10000,2897.7,10,8,1
500000,204958,0,8,1
10000,2857.3,2,8,1
5000,1786.4,19,8,1
500000,205137,1,8,1
50000,21504.4,24,8,1
10000,2812.5,1,8,1
100000,35514.9,2,8,1
50000,20549.8,20,8,1
10000,5018.7,18,8,1
1000,197.3,29,8,1
100000,36270.4,0,8,1
5000,1892.9,9,8,1
100000,33891.2,27,8,1
50000,16447.8,27,8,1
5000,1257.5,11,8,1
500000,204704,22,8,1
1000,260,18,8,1
100000,35258.2,16,8,1
50000,16939.2,10,8,1
50000,21904.3,23,8,1
10000,3284.3,13,8,1
500000,201094,29,8,1
10000,3675.5,4,8,1
500000,203984,11,8,1
5000,1548.1,23,8,1
10000,4211.5,3,8,1
100000,39560.4,24,8,1
100000,39283.4,28,8,1
500000,198231,18,8,1
1000,425.1,23,8,1
100000,38574.4,20,8,1
50000,21656.3,14,8,1
1000,347.3,15,8,1
1000,317.3,7,8,1
1000,286.5,26,8,1
500000,199170,19,8,1
10000,4296.9,23,8,1
5000,1254.9,3,8,1
10000,2753.7,8,8,1
10000,2748.4,14,8,1
50000,16054.9,13,8,1
5000,1274.1,10,8,1
50000,16323.1,3,8,1
100000,34760.2,1,8,1
10000,5465.3,0,8,1
5000,2213.3,7,8,1
50000,21878,5,8,1
5000,1265.8,18,8,1
5000,1742.9,5,8,1
50000,16912.2,25,8,1
10000,3732.4,12,8,1
500000,207228,5,8,1
5000,2317.5,26,8,1
500000,200669,24,8,1
5000,1785.7,25,8,1
100000,37663.8,26,8,1
10000,3777.1,19,8,1
50000,21969.3,21,8,1
500000,206758,28,8,1
10000,4116.1,9,8,1
10000,5451.4,20,8,1
50000,20644.4,1,8,1
50000,16415.8,26,8,1
100000,40524.6,4,8,1
100000,39561.8,7,8,1
1000,202.7,6,8,1
500000,203203,16,8,1
100000,39713.8,29,8,1
500000,205766,8,8,1
5000,1556.4,24,8,1
50000,16208.1,18,8,1
500000,201277,12,8,1
5000,1295.9,2,8,1
500000,205695,6,8,1
1000,220.1,25,8,1
1000,201.6,24,8,1
100000,34446.7,13,8,1
500000,215513,23,8,1
10000,5769.3,29,8,1
500000,205067,2,8,1
500000,201250,13,8,1
100000,35413.2,17,8,1
5000,1261.6,12,8,1
50000,16134.5,12,8,1
5000,1508.2,28,8,1
50000,16495.4,15,8,1
1000,202,27,8,1
100000,35369.3,5,8,1
5000,1519.7,16,8,1
5000,1910,21,8,1
500000,204271,21,8,1
100000,35663.7,14,8,1
1000,1156,12,8,0
